category,field,occurrences,strategyCount,dateCount,strategies,exampleDate,exampleStrategy,exampleExcerpt
REITs,REITs名称,171,1,57,REITs,2026.09.15,REITs,李鑫： REITs一季度 新配置资金+公募REITs指数基金建仓利好，一季度迎来比较好的机会。对于部分创新高的品种，和之前抄底的标的可以慢慢减仓了。
REITs,NAV与估值,170,2,57,信用债、黄金,2026.09.15,信用债,杨惠萍： 利率债企稳，信用债在前期估值默默上行的过程中，部分曲线位置凸点（3年出头）有性价比，可以根据负债情况酌情参与。另外近期一级发行项目增多，叠加跨季可以重点关注一级项目。
REITs,资产类型,128,3,57,REITs、权益、转债,2026.09.15,REITs,薛炜同： 利率债大幅下行，但REITs暂时涨幅还未跟上，布局保障房类资产。
REITs,运营指标,8,1,8,地方债,2026.09.08,地方债,…当减持超长期地方债。新出的《保险公司资产负债管理办法》下，保险对国债的配置力量可能减弱，但在净投资收益覆盖率指标的要求下，分子端只认票息+股息+租金，对于高票息的地方债而言，预计受到的冲击相对较小。
利率与债券,流动性与仓位,1096,8,57,REITs、信用债、利率债、IRS及国债期货、地方债、基金、权益、衍生品和指数、转债,2026.09.15,地方债,薛炜同： 2.27位置保险的需求迅速退潮，叠加TL在阻力位附近连续上冲失败，超长端地方债建议积极减仓落袋为安。
利率与债券,期限,599,5,57,ABS、信用债、利率债、IRS及国债期货、地方债、基金,2026.09.15,地方债,薛炜同： 2.27位置保险的需求迅速退潮，叠加TL在阻力位附近连续上冲失败，超长端地方债建议积极减仓落袋为安。
利率与债券,收益率变动,529,9,57,ABS、REITs、信用债、利率债、IRS及国债期货、基金、权益、衍生品和指数、转债、黄金,2026.09.15,REITs,薛炜同： 利率债大幅下行，但REITs暂时涨幅还未跟上，布局保障房类资产。
利率与债券,债券品种,328,4,57,ABS、信用债、利率债、IRS及国债期货、地方债,2026.09.15,地方债,薛炜同： 2.27位置保险的需求迅速退潮，叠加TL在阻力位附近连续上冲失败，超长端地方债建议积极减仓落袋为安。
利率与债券,机构需求,270,4,57,利率债、IRS及国债期货、地方债、权益、转债,2026.09.15,地方债,薛炜同： 2.27位置保险的需求迅速退潮，叠加TL在阻力位附近连续上冲失败，超长端地方债建议积极减仓落袋为安。
利率与债券,信用利差,232,3,57,ABS、信用债、利率债、IRS及国债期货,2026.09.15,信用债,…易性参与。建议对长久期，尤其是流动性偏弱、绝对收益偏低的持仓适当止盈，杠杆上可考虑适当降低至中性水平，适当预留一定空间，若后续权益市场继续反弹，利差或迎来走阔，届时可能会有一些配置时点。一级策略方面，近期一级市场的情绪仍然比较火热，多数是低估值发行，建议多挖掘首次发债主体利差、期限凸点、条款…
利率与债券,一级发行,192,3,57,信用债、利率债、IRS及国债期货、地方债,2026.09.15,地方债,薛炜同： 【地方债策略提示】近期受地方债一级供给放量等因素影响，大行对短地债的flow明显降温，前期建立的仓位可以逐步撤退
利率与债券,杠杆,114,2,57,ABS、信用债,2026.09.15,信用债,饶准： 短期内仍关注中短端下沉策略，中长久期建议用流动性较好的品种交易性参与。建议对长久期，尤其是流动性偏弱、绝对收益偏低的持仓适当止盈，杠杆上可考虑适当降低至中性水平，适当预留一定空间，若后续权益市场继续反弹，利差或迎来走阔，届时可能会有一些配置时点。一级策略方面，近期一级市场的情绪…
利率与债券,到期收益率,112,1,56,黄金,2026.09.15,黄金,许正航： 本轮贵金属集体大幅波动是多重因素共振的结果。 第一，美国就业韧性超预期，引发货币政策紧缩重定价。 黄金属于无息资产，价格对美债收益率及货币政策高度敏感，利率上行直接抬升了持有黄金的机会成本，市场交易主线从“博弈货币宽松”转向“定价高利率常态化”。 第二，美伊冲突中油价上涨构成…
利率与债券,曲线与斜率,57,1,57,信用债,2026.09.15,信用债,杨惠萍： 利率债企稳，信用债在前期估值默默上行的过程中，部分曲线位置凸点（3年出头）有性价比，可以根据负债情况酌情参与。另外近期一级发行项目增多，叠加跨季可以重点关注一级项目。
商品,黄金价格,1285,5,57,基金、权益、海外、转债、黄金,2026.09.15,转债,…重要发射，建议关注） 其他： 1）大金融可作为均衡配置的一部分：券商ETF 512000，港股通非银ETF 513750 2）新能源、工业有色、黄金等建议右侧参与，暂时观察为主 宽基：指数方面目前看风险较低，对回撤要求较高的账户，建议配置 中证A500ETF 159338 等偏中大盘的宽基作…
商品,原油价格,455,3,57,基金、海外、黄金,2026.09.15,海外,…联储的宽松立场差异。二是地缘风险突发，1 月 3 日美国对委内瑞拉采取军事行动，后续还扣押了关联油轮，直接引发短期避险情绪飙升，不过由于委内瑞拉原油全球占比仅 1%，且全球原油供应预期过剩，油价反应有限，避险资金更多流向黄金和军工板块。 后续需要重点关注的四大核心事项，这也是后续跟踪的重点：…
商品,供给与需求,232,5,57,利率债、IRS及国债期货、地方债、基金、权益、黄金,2026.09.15,地方债,薛炜同： 2.27位置保险的需求迅速退潮，叠加TL在阻力位附近连续上冲失败，超长端地方债建议积极减仓落袋为安。
商品,避险情绪,228,2,57,基金、海外,2026.09.15,海外,…明确支持立即降息，凸显政府与美联储的宽松立场差异。二是地缘风险突发，1 月 3 日美国对委内瑞拉采取军事行动，后续还扣押了关联油轮，直接引发短期避险情绪飙升，不过由于委内瑞拉原油全球占比仅 1%，且全球原油供应预期过剩，油价反应有限，避险资金更多流向黄金和军工板块。 后续需要重点关注的四大核…
商品,运价与航运,114,1,57,基金,2026.09.15,基金,…也比较大。 当前行业各项数据，也充分验证板块业绩具备较强支撑。 0427松发股份：一季度净利润10.9亿元，调整后同比增长330.29%。 周度船价连续四周快速上涨，4月以来累计涨幅0.7%，当前船价距离24年高点约3.4%。今年造船行业量价齐升趋势强化。
商品,白银价格,1,1,1,黄金,2026.06.22,黄金,…，市场对油价及通胀路径保持警惕，但高通胀及高利率的负反馈需要时间，当前美国就业、消费等硬数据维持韧性，美联储的鹰派口风或难转变。 2）目前黄金、白银ETF持仓量均低位运行，增量入场资金匮乏。多个新兴经济体本币汇率承压，部分国家为稳定汇率、缓解本币贬值压力，一方面动用黄金储备进行调节，另一方面…
宏观与海外,美联储与FOMC,1427,4,57,基金、宏观、海外、黄金,2026.09.15,海外,…一周，海外市场整体处于 “政策预期博弈 + 地缘风险扰动” 的双重影响下，核心变化集中在两大维度： 第一是关键事件层面，最核心的变量有两个。一是美联储 12 月会议纪要落地，整体延续鸽派基调，但内部分歧显著：3 位官员主张一次性降息 50 基点，2 位官员反对降息，多数官员则倾向后续若通胀回落…
